Section,Course,Gender,Residence
Section A,Bachelor of Technology CSE,Female,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Female,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Female,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Female,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Female,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Female,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Female,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Female,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Female,Nearby PG/hostel or Rented R
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Female,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Female,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Female,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented R
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Female,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Female,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Female,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,day Scholar (Commuting Daily
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Female,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented R
Section A,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented R
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented R
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Female,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented R
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Day Scholar (Commuting Dail
Section A,Bachelor of Technology CSE,Male,Nearby PG/hostel or Rented R
Section A,Bachelor of Technology CSE,Female,Day Scholar (Commuting Dail
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
